"date","longname","stat_entries","stat_total_pages","stat_total_bytes","stat_total_pct"
"2020-11-03T11:04:16","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:04:16","Migrations","11","1","4096","100.0"
"2020-11-03T11:04:16","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:04:16","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:04:16","Senders","0","0","0","0.0"
"2020-11-03T11:09:17","Free DBI","2","1","4096","100.0"
"2020-11-03T11:09:17","Main DBI","39","1","4096","100.0"
"2020-11-03T11:09:17","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:09:17","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:09:17","CodeBucket","0","0","0","0.0"
"2020-11-03T11:09:17","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:09:17","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:09:17","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:09:17","HeaderNumberPrefix","411","9","36864","100.0"
"2020-11-03T11:09:17","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:09:17","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:09:17","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:09:17","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:09:17","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:09:17","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:09:17","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:09:17","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:09:17","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T11:09:17","SyncStageProgress","4","1","4096","100.0"
"2020-11-03T11:09:17","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T11:09:17","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T11:09:17","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T11:09:17","CallFromIndex","0","0","0","0.0"
"2020-11-03T11:09:17","CallToIndex","0","0","0","0.0"
"2020-11-03T11:09:17","CliqueBucket","0","0","0","0.0"
"2020-11-03T11:09:17","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:09:17","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T11:09:17","HeaderPrefix","5235267","331725","1358745600","100.0"
"2020-11-03T11:09:17","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T11:09:17","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T11:09:17","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T11:09:17","IntermediateTrieHashBucket","0","0","0","0.0"
"2020-11-03T11:09:17","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T11:09:17","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T11:09:17","Log","0","0","0","0.0"
"2020-11-03T11:09:17","LogAddressIndex","0","0","0","0.0"
"2020-11-03T11:09:17","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:09:17","Migrations","11","1","4096","100.0"
"2020-11-03T11:09:17","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:09:17","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:09:17","Senders","0","0","0","0.0"
"2020-11-03T11:14:17","Free DBI","2","1","4096","100.0"
"2020-11-03T11:14:17","Main DBI","39","1","4096","100.0"
"2020-11-03T11:14:17","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:14:17","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:14:17","CodeBucket","0","0","0","0.0"
"2020-11-03T11:14:17","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:14:17","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:14:17","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:14:17","HeaderNumberPrefix","535","9","36864","100.0"
"2020-11-03T11:14:17","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:14:17","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:14:17","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:14:17","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:14:17","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:14:17","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:14:17","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:14:17","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:14:17","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T11:14:17","SyncStageProgress","4","1","4096","100.0"
"2020-11-03T11:14:17","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T11:14:17","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T11:14:17","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T11:14:17","CallFromIndex","0","0","0","0.0"
"2020-11-03T11:14:17","CallToIndex","0","0","0","0.0"
"2020-11-03T11:14:17","CliqueBucket","0","0","0","0.0"
"2020-11-03T11:14:17","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:14:17","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T11:14:17","HeaderPrefix","8308299","521571","2136354816","100.0"
"2020-11-03T11:14:17","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T11:14:17","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T11:14:17","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T11:14:17","IntermediateTrieHashBucket","0","0","0","0.0"
"2020-11-03T11:14:17","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T11:14:17","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T11:14:17","Log","0","0","0","0.0"
"2020-11-03T11:14:17","LogAddressIndex","0","0","0","0.0"
"2020-11-03T11:14:17","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:14:17","Migrations","11","1","4096","100.0"
"2020-11-03T11:14:17","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:14:17","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:14:17","Senders","0","0","0","0.0"
"2020-11-03T11:19:17","Free DBI","2","1","4096","100.0"
"2020-11-03T11:19:18","Main DBI","39","1","4096","100.0"
"2020-11-03T11:19:18","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:19:18","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:19:18","CodeBucket","0","0","0","0.0"
"2020-11-03T11:19:18","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:19:18","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:19:18","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:19:18","HeaderNumberPrefix","652","14","57344","100.0"
"2020-11-03T11:19:18","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:19:18","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:19:18","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:19:18","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:19:18","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:19:18","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:19:18","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:19:18","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:19:18","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T11:19:18","SyncStageProgress","4","1","4096","100.0"
"2020-11-03T11:19:18","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T11:19:18","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T11:19:18","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T11:19:18","CallFromIndex","0","0","0","0.0"
"2020-11-03T11:19:18","CallToIndex","0","0","0","0.0"
"2020-11-03T11:19:18","CliqueBucket","0","0","0","0.0"
"2020-11-03T11:19:18","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:19:18","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T11:19:18","HeaderPrefix","11183115","698952","2862907392","100.0"
"2020-11-03T11:19:18","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T11:19:18","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T11:19:18","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T11:19:18","IntermediateTrieHashBucket","0","0","0","0.0"
"2020-11-03T11:19:18","IncarnationMapBucket","0","0","0","0.0"
"2020-11-03T11:19:18","TxLookupPrefix","0","0","0","0.0"
"2020-11-03T11:19:18","Log","0","0","0","0.0"
"2020-11-03T11:19:18","LogAddressIndex","0","0","0","0.0"
"2020-11-03T11:19:18","LogTopicIndex","0","0","0","0.0"
"2020-11-03T11:19:18","Migrations","11","1","4096","100.0"
"2020-11-03T11:19:18","BlockReceiptsPrefix","1","1","4096","100.0"
"2020-11-03T11:19:18","PreImagePrefix","0","0","0","0.0"
"2020-11-03T11:19:18","Senders","0","0","0","0.0"
"2020-11-03T11:24:18","Free DBI","2","1","4096","100.0"
"2020-11-03T11:24:18","Main DBI","39","1","4096","100.0"
"2020-11-03T11:24:18","AccountChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:24:18","BloomBitsPrefix","0","0","0","0.0"
"2020-11-03T11:24:18","CodeBucket","0","0","0","0.0"
"2020-11-03T11:24:18","CurrentStateBucket","0","0","0","0.0"
"2020-11-03T11:24:18","DatabaseInfoBucket","4","1","4096","100.0"
"2020-11-03T11:24:18","databaseVerisionKey","1","1","4096","100.0"
"2020-11-03T11:24:18","HeaderNumberPrefix","767","16","65536","100.0"
"2020-11-03T11:24:18","HeadBlockKey","1","1","4096","100.0"
"2020-11-03T11:24:18","HeadFastBlockKey","1","1","4096","100.0"
"2020-11-03T11:24:18","HeadHeaderKey","1","1","4096","100.0"
"2020-11-03T11:24:18","PlainAccountChangeSetBucket","1","54","221184","100.0"
"2020-11-03T11:24:18","PlainStateBucket","8893","94","385024","100.0"
"2020-11-03T11:24:18","PlainStorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:24:18","PlainContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:24:18","StorageChangeSetBucket","0","0","0","0.0"
"2020-11-03T11:24:18","SnapshotInfoBucket","0","0","0","0.0"
"2020-11-03T11:24:18","SyncStageProgress","4","1","4096","100.0"
"2020-11-03T11:24:18","SyncStageUnwind","3","1","4096","100.0"
"2020-11-03T11:24:18","FastTrieProgressKey","0","0","0","0.0"
"2020-11-03T11:24:18","BlockBodyPrefix","1","1","4096","100.0"
"2020-11-03T11:24:18","CallFromIndex","0","0","0","0.0"
"2020-11-03T11:24:18","CallToIndex","0","0","0","0.0"
"2020-11-03T11:24:18","CliqueBucket","0","0","0","0.0"
"2020-11-03T11:24:18","ContractCodeBucket","0","0","0","0.0"
"2020-11-03T11:24:18","ConfigPrefix","1","1","4096","100.0"
"2020-11-03T11:24:18","HeaderPrefix","14008323","873633","3578400768","100.0"
"2020-11-03T11:24:18","AccountHistoryBucket","8893","113","462848","100.0"
"2020-11-03T11:24:18","StorageHistoryBucket","0","0","0","0.0"
"2020-11-03T11:24:18","BloomBitsIndexprefix","0","0","0","0.0"
"2020-11-03T11:24:18","IntermediateTrieHashBucket","0","0","0","0.0"
